TIME,BUS1,BUS2,BUS3,BUS4,BUS5,BUS6,BUS7,BUS8,BUS9
0.75,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.76,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.77,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.78,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.79,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.8,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.81,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.82,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.83,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.84,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.85,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.86,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.87,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.88,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.89,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.9,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.91,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.92,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.93,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.94,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.95,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.96,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.97,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.98,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.99,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.01,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.02,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.03,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.04,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.05,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.06,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.07,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.08,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.09,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.1,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.11,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.12,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.13,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.14,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.15,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.16,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.17,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.18,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.19,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.2,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.21,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.22,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.23,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.24,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.25,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.26,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.27,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.28,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.29,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.3,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.31,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.32,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.33,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.34,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.35,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.36,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.37,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.38,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
1.39,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.4,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.41,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.42,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.43,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.44,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.45,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.46,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.47,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.48,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.49,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.5,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.51,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.52,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.53,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.54,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.55,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.56,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.57,1.05,1.05,1.05,1.021,0.977,0.995,1.032,1.012,1.042
1.58,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.59,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.6,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.61,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.62,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.63,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.64,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.65,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.66,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.67,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.68,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
